"age","job_admin.","job_blue.collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self.employed","job_services","job_student","job_technician","job_unemployed","job_unknown","marital_divorced","marital_married","marital_single","education_primary","education_secondary","education_tertiary","education_unknown","default","balance","housing","loan","contact_cellular","contact_telephone","contact_unknown","day","month","duration","campaign","IFP","previous","poutcome_failure","poutcome_other","poutcome_success","PDAYS_1","PDAYS_2","PDAYS_3","PDAYS_4","y"
58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2143,2,1,0,0,1,5,5,261,1,0,0,0,0,0,0,0,0,0,"no"
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,29,2,1,0,0,1,5,5,151,1,0,0,0,0,0,0,0,0,0,"no"
33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,2,0,0,1,5,5,76,1,0,0,0,0,0,0,0,0,0,"no"
47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1506,2,1,0,0,1,5,5,92,1,0,0,0,0,0,0,0,0,0,"no"
33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,5,5,198,1,0,0,0,0,0,0,0,0,0,"no"
35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,231,2,1,0,0,1,5,5,139,1,0,0,0,0,0,0,0,0,0,"no"
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,447,2,2,0,0,1,5,5,217,1,0,0,0,0,0,0,0,0,0,"no"
42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,2,1,0,0,1,5,5,380,1,0,0,0,0,0,0,0,0,0,"no"
58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,121,2,1,0,0,1,5,5,50,1,0,0,0,0,0,0,0,0,0,"no"
43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,593,2,1,0,0,1,5,5,55,1,0,0,0,0,0,0,0,0,0,"no"
41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,270,2,1,0,0,1,5,5,222,1,0,0,0,0,0,0,0,0,0,"no"
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,390,2,1,0,0,1,5,5,137,1,0,0,0,0,0,0,0,0,0,"no"
53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,6,2,1,0,0,1,5,5,517,1,0,0,0,0,0,0,0,0,0,"no"
58,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,71,2,1,0,0,1,5,5,71,1,0,0,0,0,0,0,0,0,0,"no"
57,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,162,2,1,0,0,1,5,5,174,1,0,0,0,0,0,0,0,0,0,"no"
51,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,229,2,1,0,0,1,5,5,353,1,0,0,0,0,0,0,0,0,0,"no"
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,13,2,1,0,0,1,5,5,98,1,0,0,0,0,0,0,0,0,0,"no"
57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,52,2,1,0,0,1,5,5,38,1,0,0,0,0,0,0,0,0,0,"no"
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,60,2,1,0,0,1,5,5,219,1,0,0,0,0,0,0,0,0,0,"no"
